SHO,PSO
10000,223473
10000,223473
10000,223473
10000,220695
10000,215544
10000,215544
10000,215544
10000,215544
10000,215544
10000,215544
10000,215544
10000,215544
10000,215544
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,196434
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
10000,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,194523
330,184889
6,184889
6,184889
6,184889
6,184889
6,184889
6,184889
6,184889
6,184889
6,184889
6,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,184889
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,183480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,153480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
5.8,120480
0.4,120480
0.4,120480
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,115000
0.4,105000
0.4,105000
0.4,105000
0.4,105000
0.4,105000
0.4,105000
0.4,105000
0.4,105000
0.4,90000
0.4,90000
0.4,90000
0.4,90000
0.4,90000
0.4,90000
0.4,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
0.04,90000
